CCI ID,NAME,COUNTRY,LAT CENTRE,LON CENTRE,MAX DISTANCE TO LAND (KM),LAT MIN BOX,LAT MAX BOX,LON MIN BOX,LON MAX BOX,ID in GLOBOLAKES 1000 MASK,ID in CGLOPS MASK
2, lake Superior,United States;Canada,47.9625,-87.0431,73.5,46.3708,49.0542,-92.2542,-84.3125,2;,2;
3, lake Victoria,Tanzania United Republic of;Uganda;Kenya,-0.8764,33.1431,84.1,-3.0542,0.5292,31.5625,34.9042,3;,3;
4, Aral sea,Uzbekistan;Kazakhstan,44.6486,59.8347,51,43.4708,46.8208,58.1708,61.8708,4;,4;
5, lake Huron,Canada;United States,44.7208,-82.3458,73.3,42.9625,46.5875,-84.8042,-79.6292,5;,5;
6, lake Michigan,United States,42.6042,-87.0153,63.8,41.5792,46.1375,-88.0875,-84.7208,6;,6;
7, lake Tanganyika,Zambia;Congo The Democratic Republic of the;Burundi;Tanzania United Republic of,-6.8014,30.0375,34.1,-8.8458,-3.3042,29.0208,31.2375,7;,7;
8, lake Baykal/Baikal,Russian Federation,54.1736,108.9736,33.7,51.4208,55.9042,103.6625,110.0042,8;,8;
9, Great Bear lake,Canada,66.0125,-120.3764,39.4,64.7542,67.0792,-125.1792,-117.4208,9;,9;
10, lake Malawi/Nyasa/Niassa,Malawi;Tanzania United Republic of;Mozambique,-11.6042,34.6375,34.8,-14.4875,-9.4542,33.8542,35.3292,10;,10;
11, Great Slave lake,Canada,61.3347,-114.7958,44.6,60.7875,63.4042,-117.6625,-108.8708,11;,11;
12, lake Erie,United States;Canada,42.2514,-81.1292,45.6,41.3375,43.1208,-83.5125,-78.8208,12;,12;
13, lake Winnipeg,Canada,53.4153,-98.4236,40.1,50.2792,53.9208,-99.3125,-96.1792,13;,13;
14, lake Chad,Nigeria;Niger;Chad,13.1319,14.4653,6.4,12.4458,14.2375,13.1708,15.3708,14;,14;
15, lake Ontario,Canada;United States,43.6653,-77.7625,36.1,43.1292,44.5875,-79.9292,-75.6958,15;,15;
16, lake Ladoga,Russian Federation,60.7653,31.6486,56.3,59.8625,61.8208,29.7875,33.0042,16;,16;
17, lake Balqhash,Kazakhstan,46.2903,74.4764,25.4,44.9458,46.8708,73.3625,79.2792,17;,17;
18, lake Onega,Russian Federation,61.6625,35.5319,25.1,60.8542,62.9542,34.1792,36.5125,18;,18;
19, lago de Sobradinho,Brazil,-9.9042,-42.1986,8.8,-11.4458,-9.0875,-43.2792,-40.7292,,19;
20, lago Titicaca,Bolivia Plurinational State of;Peru,-15.7681,-69.4569,23.4,-16.6292,-15.1958,-70.0542,-68.5375,20;,20;
21, lago Nicaragua/Cocibolca/Granada,Nicaragua,11.3569,-85.2431,25.1,10.9875,12.1542,-85.9875,-84.7375,21;,21;
22, lake Turkana,Kenya;Ethiopia,3.7764,36.0486,21.9,2.3542,4.6875,35.7875,36.7458,22;,22;
23, lake Athabasca,Canada,59.3319,-109.4181,20.6,58.5542,59.6625,-111.3375,-105.9458,23;,23;
24, lake Volta,Ghana,6.5597,0.0292,10.4,6.0708,9.0625,-1.5458,0.3542,24;,24;
25, Issyk Kul,Kyrgyzstan,42.4236,77.3653,26.9,42.1208,42.7875,76.1458,78.3625,25;,25;
26, Great Salt lake,United States,41.2847,-112.6875,15,40.6125,41.7542,-113.1542,-111.8625,26;,26;
27, Michikamau lake,Canada,54.0153,-63.9986,10.1,53.6542,54.7375,-65.6458,-63.0125,,27;
28, Reindeer lake,Canada,57.5542,-102.2014,8.2,56.1208,58.2375,-103.3625,-101.1708,28;,28;
29, Vanern,Sweden,59.0514,13.5931,20.3,58.3125,59.4542,12.2542,14.1875,29;,29;
30, lake Albert,Uganda;Congo The Democratic Republic of the,1.7764,31.0819,20.9,0.9625,2.4208,30.3208,31.5208,30;,30;
31, lake Winnipegosis,Canada,52.6986,-99.9014,11.2,51.5292,53.2208,-101.1458,-99.5792,31;,31;
32, Netilling lake/Foxe Basin,Canada,66.6181,-70.9931,16.3,65.7875,67.0708,-71.5125,-69.0875,,32;
33, Kuybyshevskoye reservoir,Russian Federation,54.5514,48.5931,11.6,53.2208,55.8458,48.3125,50.8542,33;,33;
34, Urmia lake,Iran Islamic Republic of,37.9181,45.2542,14.1,36.9458,38.3125,44.9542,46.0125,34;,34;
35, lake Kariba,Zimbabwe;Zambia,-17.0153,27.8347,12.2,-18.0208,-16.4292,26.9792,29.0875,35;,35;
36, lake Mweru,Congo The Democratic Republic of the;Zambia,-8.9931,28.7319,22.4,-9.5792,-8.4375,28.2875,29.1958,36;,36;
37, lake Manitoba,Canada,50.3958,-98.2681,18.1,50.1208,51.8458,-99.6125,-97.8958,37;,37;
38, lake Nipigon,Canada,49.7264,-88.6903,8.3,49.2708,50.3292,-89.1542,-87.9542,38;,38;
39, Bratskoye reservoir,Russian Federation,55.6375,101.9486,9,53.0708,56.4292,101.1125,103.8542,39;,39;
40, lake Zaysan,Kazakhstan,47.9014,84.2597,15.3,47.6292,49.7875,82.9542,84.6458,40;,40;
41, Qinghai lake,China,37.0208,100.2014,18.1,36.5125,37.2708,99.5708,100.7958,41;,41;
42, lago de Cahora Bassa,Mozambique;Zimbabwe;Zambia,-15.6181,32.3069,8.2,-15.9792,-15.4625,30.4875,32.7458,42;,42;
43, ozero Taymyr,Russian Federation,74.5625,100.9764,10.4,73.7792,75.1708,100.0458,105.8958,43;,43;
44, lake of the Woods,United States;Canada,49.0847,-94.9458,11.8,48.7792,49.9292,-95.3625,-93.8208,44;,44;
45, ozero Khanka,Russian Federation;China,45.0792,132.4514,28,44.4875,45.3875,131.9458,132.8875,45;,45;
46, lagoa Mirim,Brazil;Uruguay,-32.6125,-52.8125,18,-33.6458,-32.1125,-53.7042,-52.5292,46;,46;
47, Rybinkskoye reservoir,Russian Federation,58.4014,38.5208,17.7,57.7375,59.2208,37.0792,39.1625,47;,47;
48, lake Nasser,Sudan;Egypt,23.2069,32.7986,8.2,21.5375,24.0792,31.0292,33.2875,48;,48;
49, Dubawnt lake,Canada,63.1625,-101.4431,14.3,62.5875,63.6708,-102.2542,-100.5875,,49;
50, lake Peipus/Peipsi,Russian Federation;Estonia,58.8208,27.4208,20.6,57.7792,59.0708,26.9125,28.2958,50;,50;
51, lake Van,Turkey,38.6292,42.7292,17.7,38.2708,39.0458,42.2542,43.6958,51;,51;
52, represa de Tucurui,Brazil,-4.1347,-49.6208,6.4,-5.4708,-3.6792,-49.9875,-48.9875,,52;
53, Uvs lake,Mongolia;Russian Federation,50.3069,92.7181,27.5,49.9458,50.7292,92.1625,93.4625,53;,53;
54, La Grande Riviere reservoir,Canada,53.8736,-76.7069,4.6,53.4375,54.2958,-77.7625,-75.7125,,54;
55, lake Tana,Ethiopia,12.0708,37.4014,19.4,11.5625,12.3458,36.9542,37.6625,55;,55;
56, Amadjuak lake,Canada,64.9486,-71.0431,16.7,64.5208,65.4542,-72.0958,-70.2125,,56;
57, Cedar lake,Canada,53.2181,-100.1875,10.1,52.9958,53.6792,-100.9625,-99.2542,57;,57;
58, lake Alakol,Kazakhstan,45.9764,81.8097,15.2,45.6958,46.5458,81.3042,82.1875,58;,58;
59, Khuvsgul lake,Mongolia,51.2181,100.5125,15.4,50.3958,51.6625,100.1125,100.8458,59;,59;
61, Volgogradskoye reservoir,Russian Federation,50.3431,45.8569,5.3,48.7458,51.8875,44.5708,46.7125,61;,61;
62, Iliamna lake,United States,59.4653,-155.5903,15.2,59.2708,59.8458,-155.9625,-153.8292,62;,62;
63, La Grande Riviere reservoir,Canada,53.8403,-75.3847,7.8,53.3958,54.0292,-76.0625,-73.7125,,63;
64, Tonle Sap lake,Cambodia,13.0486,103.9264,16.8,12.3292,13.2958,103.6375,104.6542,64;,64;
65, lago Itaipu,Brazil;Paraguay,-25.2042,-54.4486,3.8,-25.4958,-24.0042,-54.8042,-54.1292,,65;
66, Taihu lake,China,31.2319,120.0764,16,30.8875,31.5875,119.8542,120.6375,66;,66;
67, lac Kivu,Rwanda;Congo The Democratic Republic of the,-1.7931,29.1542,13,-2.5375,-1.5458,28.7958,29.4208,67;,67;
68, Wollaston lake,Canada,58.2125,-103.4347,5.9,57.6292,58.9542,-104.0708,-102.5792,68;,68;
69, lake Edward,Congo The Democratic Republic of the;Uganda,-0.3042,29.6181,17.8,-0.7375,-0.0375,29.2625,29.9542,69;,69;
71, Tsimlyanskoye reservoir,Russian Federation,47.7153,42.3708,10.3,47.4708,48.7208,42.0292,43.6208,71;,71;
72, Southern Indian lake,Canada,57.3319,-98.3403,6,56.5708,57.7125,-99.9875,-97.7708,72;,72;
75, Hulun lake,China,48.8931,117.3458,14.4,48.5042,49.4208,116.9208,117.8375,75;,75;
76, lake Mistassini,Canada,51.0042,-73.6181,5.4,50.2125,51.4292,-74.2708,-72.7292,,76;
77, Therthar lake,Iraq,33.8931,43.3014,14.8,33.6458,34.4292,43.0042,43.7208,77;,77;
78, Poyang lake and Jinxi lake,China,29.1319,116.1708,8.3,28.6125,29.7958,115.7625,116.7875,78;2085;,78;
79, Kakhovs'ke reservoir,Ukraine,47.4958,34.0597,8.3,46.7292,47.8375,33.3208,35.4042,79;,79;
80, Vilyuy dam,Russian Federation,62.7097,111.2847,5.2,61.9125,63.6042,109.6458,112.5042,,80;
81, lake Bangweulu and lake Walilupe and lake Chifunabuli,Zambia,-10.9792,29.9042,9.7,-11.5625,-10.8042,29.4708,30.0708,81;,81;
82, lac Manicouagan,Canada,51.2764,-68.2986,4.3,50.6042,52.1125,-69.4375,-68.1042,,82;
83, Nueltin lake,Canada,60.4097,-99.6069,4.2,59.5292,60.9708,-100.1708,-98.6375,,83;
84, lago Mar Chiquita,Argentina,-30.4931,-62.4819,25.7,-30.9958,-29.9708,-63.4125,-62.1375,84;,84;
85, Sivash lake,Ukraine,45.4208,35.1625,8,45.2208,46.3292,33.6125,35.5042,410;,85;410;
87, Kremenchuk/Kremenchuts'ke reservoir,Ukraine,49.2347,32.7819,9.9,48.9458,49.6208,31.8708,33.3625,87;,87;
88, Zeyskoye reservoir,Russian Federation,54.4347,127.7042,10.9,53.7292,54.8042,127.1542,129.1958,88;,88;
90, lac Mai-Ndombe,Congo The Democratic Republic of the,-1.6847,18.2764,7.8,-2.7542,-1.4542,17.9958,18.6708,90;,90;
91, Nam lake,China,30.6958,90.4514,15.2,30.4625,30.9708,90.2125,91.0792,91;,91;
92, ozero Chany,Russian Federation,54.9514,77.9653,7.2,54.5542,55.1125,76.6792,78.1208,92;,92;
93, Krasnoyarskoye reservoir,Russian Federation,54.2264,91.4625,4.7,53.6792,55.9792,90.7625,92.7042,93;,93;
94, General Carrera lake/lago Buenos Aires,Chile;Argentina,-46.4819,-71.5153,9.6,-47.0542,-46.2458,-73.0208,-71.0958,94;,94;
95, Vattern,Sweden,58.5458,14.7069,9.9,57.7458,58.9208,14.0708,15.0625,95;,95;
96, lago de Serra da Mesa,Brazil,-14.1097,-48.2903,4,-14.6708,-13.7375,-49.1375,-48.0875,,96;
97, Baker lake,Canada,64.2097,-95.3819,9.9,63.9042,64.3625,-96.3542,-94.1458,,97;
98, lake Argyle,Australia,-16.2931,128.8264,6.2,-16.8375,-16.0292,128.5292,129.0125,,98;
100, lac la  Martre,Canada,63.4569,-118.1903,9.7,63.0375,63.6208,-118.7042,-117.0958,100;,100;
101, laguna Madre,Mexico,25.1958,-97.5819,9.6,23.7542,25.5458,-97.8958,-97.3375,,101;
102, Ust-ilimskoye reservoir,Russian Federation,57.3236,102.3347,5,56.2458,58.0792,101.1542,103.8292,102;,102;
103, Williston lake,Canada,55.9847,-123.9181,6.2,55.1208,56.9458,-125.0792,-122.1208,103;,103;
104, Kamskoye/Kama reservoir,Russian Federation,58.8625,56.2847,5.8,57.7375,59.9042,55.4125,57.0875,104;,104;
105, Siling lake,China,31.8014,89.0903,14.7,31.5042,32.1125,88.4958,89.3958,105;,105;
106, Brokopondo,Suriname,4.8625,-55.0625,9.2,4.3792,5.0458,-55.4125,-54.7542,106;,106;
107, lac Seul,Canada,50.3153,-92.5542,3.2,50.0542,50.7458,-93.2875,-91.4958,,107;
108, lac de Kossou,Côte d'Ivoire,7.1625,-5.6181,3.5,6.9625,7.8625,-5.8208,-5.3375,,108;
109, Hung-tse lake,China,33.2847,118.7236,9.6,32.9958,33.6792,118.1125,118.9125,109;,109;
110, lake Sakakawea,United States,47.8069,-102.3125,4,47.4208,48.2125,-103.8875,-101.0542,110;,110;
112, Khantayskoye reservoir,Russian Federation,67.8264,87.5986,8.9,67.3958,68.6458,87.1625,89.3458,112;,112;
113, Saratovskoye reservoir,Russian Federation,52.8486,48.4792,5.4,51.9708,53.5125,47.6708,50.2375,113;,113;
114, lake Okeechobee,United States,26.9403,-80.7903,17.3,26.6542,27.2458,-81.1292,-80.5708,114;,114;
116, Kainji reservoir,Nigeria,10.4097,4.5653,10.8,9.7958,11.0708,4.3375,4.7792,116;,116;
117, Argentino lake,Chile;Argentina,-50.2458,-72.5014,9.1,-50.7292,-49.8458,-73.4792,-71.9375,117;,117;
118, Gouin reservoir,Canada,48.5375,-74.5347,2.1,48.2125,48.8708,-75.4708,-74.0458,,118;
119, lake Mweru wantipa,Zambia,-8.6569,29.7236,10.6,-9.0292,-8.4208,29.4042,30.0375,119;,119;
120, lake Tengiz,Kazakhstan,50.3125,68.8597,9.7,50.1458,50.7542,68.5958,69.6708,120;,120;
121, Khyargas lake,Mongolia,49.2042,93.2208,10.2,48.9125,49.3792,92.7625,93.8458,121;,121;
122, lake Oahe,United States,44.7375,-100.6375,2.7,44.3875,46.6042,-101.1958,-100.1958,122;,122;
124, Kasba lake,Canada,60.3208,-102.1208,9.2,59.9708,60.7042,-102.7292,-101.7958,,124;
125, lake Claire,Canada,58.5931,-112.0792,9.6,58.2542,58.9125,-112.5208,-111.6625,125;,125;
126, Yathkyed lake,Canada,62.7431,-98.1431,6.7,62.3625,63.0042,-98.5375,-97.2375,,126;
127, lac la Ronge,Canada,55.0181,-105.0931,8,54.8542,55.3708,-105.3458,-104.3208,127;,127;
128, lac a l'Eau Claire,Canada,56.0681,-74.1069,8.3,55.9042,56.3958,-74.9125,-73.8792,,128;
129, represa de Ilha Solteira,Brazil,-20.2236,-51.0486,3.9,-20.6042,-19.1375,-51.5625,-50.3875,,129;
130, Rainy lake,United States;Canada,48.5736,-92.8014,3.2,48.2292,49.0042,-93.6708,-92.3042,,130;
131, Kapshagay reservoir,Kazakhstan,43.8542,77.3542,8.9,43.6792,43.9875,77.0375,78.3792,131;,131;
132, lago de Rincon del bonete,Uruguay,-32.6875,-56.0181,6.5,-33.0042,-32.3958,-56.4708,-55.4458,132;,132;
133, Poopo lake,Bolivia Plurinational State of,-18.9903,-66.9625,12.1,-19.1958,-18.4625,-67.4708,-66.7792,133;,133;
134, rio Xingu,Brazil,-1.9347,-52.2431,7.1,-2.7375,-1.5792,-52.4042,-51.9042,134;,134;
135, Sevan lake,Armenia,40.2958,45.3792,13.4,40.1125,40.6708,44.9125,45.6792,135;,135;
