CCI ID,NAME,Hylak_id,Depth_avg,Lake_area
799, Hawizeh marshes,175570,0.6,2.55
3114, loch Ness,13036,61.9,51.56
7889, lough Melvin,13375,7.7,20.84
2516, loch Lomond,13169,34.0,68.45
12262, loch Leven,13140,4.1,13.26
1519, lough Derg,1199,15.4,113.87
3053, Las Salinas,10285,4.7,52.52
1203, Aras Dam lake,1329,13.4,101.07
3350, Dabie lake,13472,1.7,52.34
3607, Boraphet,15728,27.5,44.19
2364, Djorf Torba,15188,21.8,16.08
3025, lac d'Hourtin,14240,7.6,57.66
562, Vaal dam,1657,11.1,287.81
1526, Lower lough Erne,13369,11.9,98.32
3109, embalse del Ebro,14379,9.9,54.28
1057, lough Corrib,1193,8.6,159.93
2965, lac Mandje,16002,3.8,42.13
455, White Nile,1527,3.7,933.5
2186, Pingvallavatn,12040,26.6,81.58
2724, laguna de Leche,9703,4.1,64.08
3132, cienaga Colorada and cienaga Catalina and naga Alibu,9868,1.0,21.39
1218, Nyumba Ya Mungu reservoir,1605,10.3,110.07
1943, lake Chiuta and lake Amaramba,1626,3.9,143.85
2111, Cienaga Chilloa,9892,2.1,96.54
3191, lake Towada,14536,72.3,60.49
833, Sirindhorn,1528,8.3,235.58
975, lac de Guiers and  Vallee du Ferlo,1520,3.6,221.01
2271, Kinkony,1631,6.7,154.74
2427, Fati,15716,2.2,85.75
2554, Lebsko,13335,3.0,69.71
588, lago Cochrane/lago Pueyrredon,999,101.8,298.95
957, lake Alaotra,1634,2.4,172.56
1632, Narvskoye reservoir,1158,6.0,106.88
3007, cienaga de Ayapel,881,1.7,120.51
3200, Talimardzhan reservoir,14696,26.9,56.63
3208, Zzzz,1,200.5,377001.91
2313, lac Ihema,15986,8.3,93.56
3379, Raznas ezers,13125,5.4,54.7
1273, lago Arapa,924,21.0,101.9
2907, laguna Parinacochas,10246,3.0,70.14
3196, etang de Cazaux,14289,7.5,55.14
2129, Kahul lake,14214,7.1,88.79
594, Tornetrask,1043,42.9,327.45
702, St Lawrence river,754,3.4,238.12
893, lake Neuchatel,1249,18.7,210.29
1115, lake Neusiedl,1242,2.1,141.51
1355, General Vintter/lago Palena,994,83.0,139.04
1505, Sniardwy,1186,15.6,120.06
2092, laguna de Castillos,10500,2.2,69.56
618, lake St Lucia,1663,16.3,321.88
1555, Indawngyi Natural lake,1480,7.5,119.62
1853, laguna Mandiore,927,22.7,144.53
2425, Narac lake,13324,11.4,78.17
2550, cienaga Zarate and cienaga Ceiba,9866,1.5,61.22
2559, laguna Gaiba,10302,7.0,97.8
2693, lago de Ilopango,9818,53.4,69.32
167, lago O'Higgins/lago San Martin and lago Ciervo and lago Cisnes and lago Gabriel Quiroz and lago Brazo Chacabuco and lago Brazo Maipu and lago Chico,88,68.0,1009.95
1248, lake Baringo,1585,14.5,125.43
1616, lagoa Poelela,16312,4.5,87.94
2167, Lubans,13088,2.8,80.62
1216, Etang de Berre and Etang de Bolmon,1298,23.3,159.05
3373, lac Assal,15807,10.8,64.4
603, Ubolratana,1517,7.2,313.38
1054, Chambri lake,1608,3.9,161.46
1479, lake Atitlan,870,72.2,122.74
1627, lake Azuei,859,30.1,117.64
2365, Hawizeh marshes,15176,1.0,89.68
2923, Manchar lake,15458,1.3,90.14
304, Fagnano lake/Cami lake,1006,69.9,586.39
806, lake Qaroun,1468,4.0,233.84
818, Taal lake,1535,65.7,235.04
1437, laguna de Tansin,868,7.9,122.5
1740, laguna Marfil,10255,7.5,93.85
1771, lac Rweru,1598,8.3,126.08
1789, Dengizkul,1327,7.1,295.78
1841, Inawashiro lake,1346,49.4,102.54
2779, cienega El Floral and cienaga Iguana,9913,1.0,33.24
462, Itezhi Tezhi dam,1629,17.3,328.54
1213, Chatyr Kol,1315,8.5,151.84
1307, lake Mainit,1556,28.9,142.66
1659, lake Naivasha,1591,13.6,128.23
690, Great Prespa lake,1312,88.0,262.6
817, Great Bitter lake,1455,6.3,205.34
306, lac Lagdo,1558,12.5,623.12
470, ozero Karakul,1330,50.6,397.05
723, lago Enriquillo,860,8.9,227.51
279, lake Assad,1365,18.2,636.77
328, Mingachevir reservoir,1313,38.5,415.51
1007, embalse de Guarico,879,9.8,187.54
1264, Chinchayqucha lake,916,3.4,163.12
