,a2w_full,a2w_cloud,lstm_full,lstm_cloud,obs_full,obs_cloud,lake_id
5%,12.678776180395548,12.285029070084502,12.49437,12.561489,12.643347040812216,11.874032115936288,799
25%,16.15869103474194,16.017329998290364,15.99631,15.990945,16.24700762430831,13.771370983123802,799
50%,21.295369487983383,21.854954401699768,22.324228,22.759977,22.184440231323265,16.34378903706869,799
75%,26.02388008956649,27.37174203234174,25.635239,25.410164,25.532237625122093,19.953899955749552,799
95%,27.954906062921246,29.575020660637517,29.922853,27.038982,30.20182444254561,24.778466955820747,799
5%,1.475091710873102,1.480509186368936,2.05132,2.2691212,2.265934256803746,2.349438466480922,3114
25%,3.222822587572269,3.277155917219712,3.7332535,3.806301,3.712691665628881,3.7528779288106904,3114
50%,7.375506973719494,7.379833924083939,6.676836,6.8476033,6.765535283742906,7.026490858337979,3114
75%,11.48963577562005,11.556848298522564,11.482994,11.413756,11.360633084241044,11.626266283995378,3114
95%,13.44570632205811,13.51354072370673,14.823685,14.744396,15.13794871908135,14.89598007815624,3114
5%,3.5904123715163463,3.532269380287579,3.7033014,3.5151072,3.663680733505487,3.8053212308964395,7889
25%,5.539739627965081,5.639386862864987,5.820745,5.8025284,5.74040286078548,5.738165428819457,7889
50%,9.160747108729115,9.162118284640364,9.347656,9.3673725,9.222589813777631,9.392759539295298,7889
75%,13.366181424162802,13.434455186327282,13.338867,13.345261,13.330981659178065,13.401214558840536,7889
95%,15.506019759597686,15.68448644981405,15.873114,15.795874,16.022962743613334,15.75508652252995,7889
5%,0.9468098198633452,0.9692408749610736,1.2227921,1.4932065,1.573940531412802,1.596275838216195,2516
25%,2.658143579191081,2.712855003607277,3.3303633,3.5143237,3.287516530354821,3.3342936197917368,2516
50%,6.541246794765725,6.63108742277015,6.24749,6.0518227,6.093792851766011,6.406208928426111,2516
75%,10.432460340688438,10.504214689594257,10.5315,10.660267,10.54371350606283,10.729348754882835,2516
95%,12.413103983056386,12.530055310523467,13.907782,14.166803,14.44196217854818,14.376157061258978,2516
5%,0.3671134308514017,0.3321704400142407,0.91487026,0.91333866,1.1025513966878293,1.0561481475830303,12262
25%,2.1861541565223788,2.16328343588831,2.61338,2.4386568,2.566049830118857,2.5715627034505246,12262
50%,6.485989405214702,6.534184444750783,6.035611,6.2335777,6.081004714965843,6.243312454223656,12262
75%,10.872498915301774,10.891152203396716,11.009256,11.276243,10.954496637980183,11.167515055338583,12262
95%,12.91161211134772,13.043836389190648,14.580526,14.1582,14.30274098714193,14.30274098714193,12262
5%,4.094513962873099,4.032337531606805,4.215325,4.2084427,4.247456487019861,4.357751464843761,1519
25%,6.001302444419425,6.025369445351242,6.203417,6.3394203,6.227083460489951,6.482635752360068,1519
50%,9.65619578866512,9.641802841933233,9.714578,9.8004055,9.68950233459475,10.22575658162441,1519
75%,14.146103528794,14.09122997568678,13.956924,13.944492,13.910569763183616,14.14352951049807,1519
95%,16.15826014109085,16.075701551530166,16.651682,16.386509,16.57949282328292,16.339826202392604,1519
5%,16.498433381570855,16.260881836112617,16.311989,16.449898,16.26890443686466,16.531264746830686,3053
25%,17.83954115353619,17.790081891813927,17.338524,17.659681,17.2855324583507,19.13451592021022,3053
50%,19.533750265080947,19.54926163483702,19.399244,19.328156,19.473477502214223,20.72679373063733,3053
75%,21.097858830779423,21.140858769566684,20.997017,20.992592,20.87611617248109,21.35101180244164,3053
95%,22.02346373421181,22.28276654445905,21.807043,21.77691,22.02335895565932,22.259549779118423,3053
5%,0.223567282957673,0.0879777683889916,0.55249214,0.58880043,0.5564094543457259,0.355240758260112,1203
25%,4.155878944493554,3.97092733436402,4.15742,4.3353825,4.440487798055017,1.8256123224894623,1203
50%,13.240078470001478,13.118496129079984,14.072383,14.359043,13.92976531982424,6.280589040120447,1203
75%,21.44486236794105,21.64188930137774,21.982094,21.833729,21.460403696696005,13.497000630696647,1203
95%,25.25646171882097,24.759403826217437,24.608131,23.05026,24.953803634643577,22.32624276479089,1203
5%,0.1867431236512211,0.3395912381098959,1.1186523,1.0178337,1.1152297411356358,1.0329350126433272,3350
25%,3.051694828594446,3.1829521400909013,3.6945133,3.4757795,3.5995179273684244,3.2798520446764883,3350
50%,9.186934083075316,9.209222296488246,9.169827,9.226808,9.200663592830551,8.17876382893013,3350
75%,16.15038134419805,16.132166048589895,16.166029,16.387833,16.009477527881018,15.127539282724117,3350
95%,19.39411955355761,19.47769173831208,20.095608,19.890198,20.14643501609044,19.753645289667165,3350
5%,22.372510940280208,22.670021873033487,21.707968,21.60181,21.886766688029013,22.63903121948245,3607
25%,25.28554669985345,25.53934666764854,25.645899,25.65985,25.22942059834804,26.482385253906273,3607
50%,27.040467501861656,27.18612258975499,27.389675,27.416655,27.4437080383301,27.76714668273928,3607
75%,28.835559597594784,28.902795166654077,28.630026,28.656937,28.649020767211937,28.870817438761406,3607
95%,30.05428590600601,30.09637483127267,29.625517,29.543402,29.874493535359704,29.931059328715044,3607
5%,9.945244378359204,9.703658391287306,10.054693,10.695605,10.335931396484398,10.097540156046591,2364
25%,12.881868680519728,12.904153317576815,12.376276,12.426523,12.855943298339866,12.193990008036309,2364
50%,17.897776579083665,17.81246197153678,18.729485,18.771582,18.32669283548995,16.537285105387383,2364
75%,23.886101988296968,23.889013884588834,23.946878,23.732222,23.723992284139,22.43955446879071,2364
95%,26.566383405740428,26.66493908879361,26.9129,25.32477,27.80883305867513,27.20657065709436,2364
5%,5.266683591871138,5.279005154740645,4.8014174,4.8409967,4.970976876844361,5.1113533283084625,3025
25%,8.538745497412165,8.575968800708504,9.07984,9.040304,9.200037389023976,9.005142957095813,3025
50%,13.521231066032032,13.613237314536953,13.671664,13.514934,13.395176897282395,13.033882757930314,3025
75%,18.894415606384698,18.967624246525126,18.87537,18.753963,18.961807790884563,18.71811449206604,3025
95%,21.904630886143707,21.89153673245668,21.730919,21.594982,21.819255515723057,21.714288648007194,3025
5%,1.4695820282500995,1.5449700913828115,2.08222,2.2741418,2.3697715490881706,2.363400718106664,2532
25%,3.85883457472474,3.7754657373194487,4.2856207,4.303265,4.221883967698943,4.207004300204517,2532
50%,8.532319594630584,8.59822630681564,8.535345,8.279849,8.549963308864278,8.425369555906514,2532
75%,14.324719991742406,14.293462505542204,13.8730755,14.067257,14.070686734442688,14.0983751647791,2532
95%,16.64694805695832,16.53554639058209,17.317545,17.450607,17.548187675968165,17.551698323839865,2532
5%,8.156466282841839,8.228297104385932,8.838926,9.358958,8.960984802246116,9.38386306762692,562
25%,11.430737765018629,11.518521602618389,10.665253,10.861959,10.893480555216511,14.17961463928225,562
50%,16.159672303658102,16.127874997765925,16.114435,16.354303,15.821799214680992,17.901022211710654,562
75%,19.290877396764884,19.341992925087222,19.692144,19.422998,19.38361002604171,20.03396313985189,562
95%,21.27590894627436,21.41175018553728,21.284094,20.518295,21.756646728515648,22.011052703857445,562
5%,3.1676900929174083,3.276306494094895,3.176775,3.189746,3.271724955240927,3.394880485534691,1526
25%,5.298751688637246,5.253830816523641,5.4178114,5.4468994,5.446481959025107,5.402698612213172,1526
50%,8.977985292633317,9.016818662825871,9.225366,9.299299,9.07706731160482,9.200847880045586,1526
75%,13.49610957999381,13.54801295269435,13.418562,13.371338,13.36085980733236,13.462324873606379,1526
95%,15.683009613109768,15.761399583283492,15.972435,15.914976,16.075678126017294,15.72496013641363,1526
5%,3.085920963560139,3.180924633485495,4.471525,3.9779682,3.925988133748376,3.973239453633635,3109
